f=758.210000, dc=829.600000, amp=0.240000, phase=0.970000
f=758.370000, dc=829.690000, amp=0.170000, phase=1.210000
f=758.530000, dc=829.570000, amp=0.210000, phase=0.930000
f=758.850000, dc=829.770000, amp=0.230000, phase=0.920000
f=759.010000, dc=829.530000, amp=0.220000, phase=1.030000
f=759.170000, dc=829.670000, amp=0.210000, phase=0.960000
f=759.330000, dc=829.450000, amp=0.240000, phase=0.820000
f=759.650000, dc=829.700000, amp=0.220000, phase=0.800000
f=759.810000, dc=829.310000, amp=0.220000, phase=0.870000
f=760.000000, dc=829.580000, amp=0.200000, phase=1.060000
f=760.160000, dc=829.570000, amp=0.230000, phase=1.080000
f=760.480000, dc=829.630000, amp=0.210000, phase=0.930000
f=760.630000, dc=829.550000, amp=0.230000, phase=0.960000
f=760.790000, dc=829.740000, amp=0.210000, phase=0.780000
f=760.950000, dc=829.570000, amp=0.250000, phase=0.880000
f=761.270000, dc=829.520000, amp=0.250000, phase=0.950000
f=761.430000, dc=829.390000, amp=0.250000, phase=1.100000
f=761.590000, dc=829.710000, amp=0.180000, phase=0.910000
f=761.750000, dc=829.390000, amp=0.230000, phase=0.980000
f=762.060000, dc=829.470000, amp=0.230000, phase=1.040000
f=762.220000, dc=829.610000, amp=0.260000, phase=1.060000
f=762.380000, dc=829.690000, amp=0.230000, phase=1.070000
f=762.540000, dc=829.560000, amp=0.260000, phase=0.950000
f=762.860000, dc=829.600000, amp=0.240000, phase=0.960000
f=763.020000, dc=829.810000, amp=0.250000, phase=1.050000
f=763.180000, dc=829.650000, amp=0.260000, phase=1.090000
f=763.340000, dc=829.510000, amp=0.240000, phase=0.970000
f=763.660000, dc=829.460000, amp=0.250000, phase=0.930000
f=763.820000, dc=829.470000, amp=0.250000, phase=1.020000
f=763.980000, dc=829.350000, amp=0.250000, phase=1.060000
f=764.140000, dc=829.520000, amp=0.250000, phase=0.930000
f=764.460000, dc=829.520000, amp=0.260000, phase=1.040000
f=764.620000, dc=829.410000, amp=0.240000, phase=1.100000
f=764.780000, dc=829.430000, amp=0.250000, phase=1.080000
f=764.940000, dc=829.420000, amp=0.240000, phase=0.930000
f=765.260000, dc=829.580000, amp=0.310000, phase=1.030000
f=765.420000, dc=829.520000, amp=0.260000, phase=1.130000
f=765.580000, dc=829.580000, amp=0.260000, phase=0.940000
f=765.740000, dc=829.500000, amp=0.260000, phase=1.090000
f=766.060000, dc=829.590000, amp=0.260000, phase=0.910000
f=766.230000, dc=829.520000, amp=0.220000, phase=0.850000
f=766.390000, dc=829.700000, amp=0.280000, phase=1.050000
f=766.550000, dc=829.660000, amp=0.240000, phase=0.970000
f=766.870000, dc=829.530000, amp=0.300000, phase=0.990000
f=767.030000, dc=829.540000, amp=0.280000, phase=1.030000
f=767.190000, dc=829.270000, amp=0.260000, phase=1.000000
f=767.350000, dc=829.280000, amp=0.250000, phase=1.080000
f=767.680000, dc=829.450000, amp=0.270000, phase=1.010000
